Execution,Avg_Accuracy,Avg_Precision,Avg_Recall,Avg_F1_Score
1,0.8053191489361702,0.8977891404326985,0.6666666666666667,0.7556581073741201
2,0.7936170212765958,0.9279375696767002,0.6137931034482758,0.7258504490205837
3,0.7946808510638298,0.9507379668023814,0.5885057471264368,0.7209724302669301
4,0.8223404255319149,0.9733918887713319,0.6344827586206897,0.7646037928710339
5,0.7936170212765957,0.894034891764452,0.6344827586206897,0.738349075570129
6,0.7861702127659574,0.7785786097100886,0.7908045977011493,0.7700706481422979
7,0.8095744680851065,0.8580391653902361,0.7172413793103448,0.7757556035006564
8,0.801063829787234,0.9162821219518598,0.6436781609195403,0.7503838258249715
9,0.8074468085106383,0.8747031038138552,0.6965517241379311,0.766364789826437
10,0.7882978723404256,0.9040153608494158,0.6275862068965516,0.7306991272004834
11,0.7861702127659574,0.9198662945414423,0.6022988505747127,0.7185046889092009
12,0.8191489361702129,0.9029014293864265,0.6873563218390805,0.7769881955460682
13,0.8127659574468085,0.8952160439893289,0.6827586206896552,0.7709552402277858
14,0.7872340425531915,0.8498568032735662,0.6735632183908046,0.7333323358792792
15,0.7882978723404255,0.9612216139509975,0.5701149425287356,0.707022253364354
16,0.824468085106383,0.8850584236978515,0.7310344827586206,0.7914753319816611
17,0.798936170212766,0.8490589500571353,0.6942528735632185,0.756151009693073
18,0.7978723404255319,0.8607819620842578,0.7379310344827587,0.7724390024265804
19,0.8074468085106383,0.9169779917702765,0.6436781609195401,0.7551560806836666
20,0.7914893617021277,0.9345449067809163,0.5977011494252873,0.7216603353544531
21,0.7808510638297872,0.9062007026778289,0.6252873563218391,0.7178219696969697
22,0.8265957446808511,0.9287034619259682,0.6850574712643678,0.7847146474091673
23,0.7840425531914894,0.8651513690228896,0.6459770114942528,0.7285148545575737
24,0.7829787234042553,0.9189588189588191,0.6114942528735632,0.7147859757777484
25,0.8148936170212766,0.8941407194161408,0.6942528735632184,0.7725352839248159
26,0.7957446808510638,0.903715384854998,0.6459770114942529,0.7408019430910114
27,0.7872340425531915,0.9033095376845377,0.6229885057471265,0.7269398145005962
28,0.7776595744680851,0.9277525710828796,0.5724137931034483,0.7012787155154431
29,0.827659574468085,0.8949367878188532,0.710344827586207,0.7911523023094792
30,0.8085106382978724,0.9305840771358934,0.6413793103448275,0.7527556030792173
